Event,Start time,End time,Building Name/Room Number,Website,Event Description/Agenda,Sponsoring Organization,Event Contact,Event Contact Position/Department,Event Contact Phone,Event Contact Email,Street Address,Latitude,Longitude,Location,Event Info Url,Classification
The Realization of Emily Linder,05/18/2016 07:30:00 PM,,,http://taproottheatre.org/emily-linder/,"Control is an illusion... Where&#39;s the remote? Retired college professor Emily Linder summons her daughters to share her recent realization: she knows the precise time of her death. In this quirky comedic drama one eccentric family will amuse and surprise you with their preoccupations, recognitions and realizations.<br /> <br /> Director Nathan Kessler-Jeffrey said, &#8220;Richard Strand [the playwright] captures a family dealing with the new challenges of an aging parent and the old rivalries of competitive siblings. This story&#8217;s honesty and hilarity will not only touch mothers and daughters and caregivers of aging parents, but everyone who has dealt with the difficulty of growing up and watching the world change drastically around them.&#8221;<br /> <br /> Kessler-Jeffrey previously directed the extended run of Jeeves Intervenes from TTC&#39;s 2015 Season. He also directs Taproot&#39;s bullying prevention Road Company shows that tour throughout the state of Washington.<br /> <br /> The cast includes Laura Kenny (10 Things I Hate About You, Village Theatre&#39;s Mary Poppins) as the titular character Emily Linder with Helen Harvester (Taproot Theatre&#39;s Diana of Dobson&#39;s) as Janet, Charity Parenzini (Taproot Theatre&#39;s This Christmas) as Margaret and Annelih GH Hamilton (Arts West&#39;s Really, Really) as Jennifer. ",Taproot Theatre Company ,Box Office ,,2067819707 ,box@taproottheatre.org,204 N 85th St,47.69083,-122.35626,"(47.69083, -122.35626)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119068018,art
Open Call for Performance/Live Art,05/19/2016 12:00:00 AM,,doesliveart.wordpress.com,https://doesliveart.wordpress.com/,"This open call is looking for contemporary performance around the themes Body, Risk, and Future; from conversations, one-on-one interactions, durational works, pieces performed to and with the audience, and more. The timing coincides with the Seattle Art Fair in order to amplify the importance of Performance in Contemporary Art.<br /> <br /> The gallery will host a noontime meal each of the three days as a way to gather the artists and audience, nourish them, and network. After the meal will be discussions themed around Performance Art. In the afternoons and evenings there will be a variety of performances programmed.<br /> <br /> SOIL exists as an alternative venue for artists and curators to exhibit, develop, and advance their work. We are committed to exhibiting art of diverse media and content. Morgan Cahn, a current SOIL member, is curating this exhibition and performance series.<br /> <br /> SOIL gallery is the main hub (112 3rd Ave S, Seattle, WA 98104). Works that take place outside the gallery or depart from the gallery will also be considered. SOIL gallery is ADA accessible. ",,Morgan Cahn ,,206-471-4178 ,doesliveart@gmail.com,112 3rd Ave S,47.60113,-122.3298,"(47.60113, -122.3298)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118956846,art
Keys to the Kingdom: Sea Stars and Our Coastal Environment,05/19/2016 10:00:00 AM,05/19/2016 05:00:00 PM,,http://www.nps.gov/klse/index.htm,"Please join the Klondike Gold Rush National Historical Park as we open our new temporary exhibit, Keys to the Kingdom: Sea Stars and Our Coastal Environment. Learn about the amazing sea stars that populate the Pacific coast, the mysterious disease that has been attacking the species, and how you can play a part in the future of sea stars. This exhibit is designed and created by graduate students at the University of Washington&#39;s Museology Program. ",,Klondike Gold Rush National Historical Park ,,,,319 2nd Ave S,47.59938,-122.33197,"(47.59938, -122.33197)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117057802,art
Living Small: Ideas for Living in the City,05/19/2016 10:00:00 AM,05/19/2016 06:00:00 PM,,https://www.aiaseattle.org/livingsmall/,"As Seattle grows, how can housing design keep pace with the evolving ways we are living in cities? Is small housing a viable option? Can smaller spaces make for better living? This exhibit by 2015 Emerging Professionals Travel Scholarship Recipient Garrett Reynolds, explores micro-living spaces in dense urban environments in Copenhagen, New York, Stockholm, and Tokyo. ",,Jalayna Walton ,,,,1010 Western Ave,47.6047,-122.33739,"(47.6047, -122.33739)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118692805,art
Posing Beauty in African American Culture,05/19/2016 11:00:00 AM,05/19/2016 07:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570480,art
Posing Beauty in African American Culture,05/19/2016 11:00:00 AM,05/19/2016 05:00:00 PM,,http://www.naamnw.org/,"You&#8217;re posing for the camera. How do you want to be seen? Distinguished. Thoughtful. Stylish. Outrageous. Celebratory. Proud.<br /> <br /> In Posing Beauty, a century of photographs by a wide range of image-makers&#8212;photojournalists, artists, men, and women&#8212;explore beauty and highlight how we see ourselves and are seen by others.<br /> <br /> Among the many distinguished photographers represented in this group exhibition are Anthony Barboza, Sheila Pree Bright, Leonard Freed, Charles &#8220;Teenie&#8221; Harris, Russell Lee, Jamel Shabazz, Hank Willis Thomas, Mickalene Thomas, Carrie Mae Weems, and Ernest C. Withers.<br /> <br /> Join us for a celebratory opening on April 29 (6-8pm). Be bold and beautiful! ",Northwest African American Museum ,Amie Newman ,,2065186000 ,info@naamnw.org,2300 S Massachusetts St,47.58874,-122.30185,"(47.58874, -122.30185)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118570352,art
Center on Contemporary Art Releases New Pop-Up (AR)t Book,05/19/2016 12:00:00 PM,05/19/2016 06:00:00 PM,,http://cocaseattle.org/exhibitions/upcoming/coca-pop-art/,"Center on Contemporary Art Releases New Pop-Up (AR)t Book<br /> Art Book Goes High Tech, Uses Augmented Reality (AR) to Bring Virtual Art to the Real World<br /> <br /> As part of CoCA&#8217;s ongoing effort to push the boundaries of contemporary art&#8212;in this case by bringing new technology to its publications&#8212;CoCA jurors Joseph Roberts and David Francis have worked with Curator and Producer Ray C. Freeman III to select 18 contemporary artworks to present in a technology-enhanced art volume, Pop-up (AR)t Book. Similar to a traditional pop-up book, three dimensional versions of featured artists&#8217; work will spring to life as the viewer turns each page. But instead of elaborate paper cutouts, new technology called Augmented Reality (AR) will allow the viewer to see the artwork in three dimensions on their mobile device &#8211; iPhone, iPad, and Android.<br /> CoCA to Celebrate Launch Of Pop-Up (AR)t at Special Reception<br /> CoCA will celebrate the launch of &#8220;CoCA Pop-Up (AR)t,&#8221; with a Book Release Party and Exhibition at the opening reception on May 12 from 6:00-9:00 p.m. at CoCA Rubix, 515 Harvard Avenue East, Seattle.<br /> <br /> In addition to the book, the artists will be featured with backlit AR &#8220;targets&#8221; that allow visitors to view larger scale AR representations of the art in the context of a gallery show. Physical versions of the artwork will also be on view so gallery goers can experience both the &#8220;real&#8221; and the &#8220;virtual&#8221; editions of selected works. The event will also host a full-scale re-creation of the CoCA p(AR)k exhibition presented at last year&#8217;s PARKing Day event. Pieces from that event include 10-foot-tall AR trees created by Casey Scalf of sensebellum.com.<br /> In addition to Scalf, other participants in the project include Northwest artists Miguel Edwards, Alan Fulle, Jeff Mihalyo, Ray C. Freeman III, Stephen Rock, BK Tran, j shagam, Xavier Lopez, Jr., Karen Hackenberg, L. Kelly Lyles, and Reilly Donovan together with California artists Amiko Matsuo, Megan Geckler, Corey Dunlap, and Bradley Tsalyuk, plus Joseph Reyes from Seoul, Korea.<br /> Rock&#8217;s Studio provided the printing for the exhibition, and Castanes Architects, P.S., A.I.A. contributed software used to assemble many of the models in the book and exhibition.<br /> How to View CoCA Pop-Up (AR)t,&#8221;<br /> The Wikitude app used to view the 3D models in the book and exhibition can be found in the iOS App Store (<a href=""https://itunes.apple.com/us/app/wikitude/id329731243?mt=8"" target=""_blank"" title=""https://itunes.apple.com/us/app/wikitude/id329731243?mt=8"">itunes.apple.com&#8230;</a>) and on Google Play (<a href=""https://play.google.com/store/apps/details?id=com.wikitude"" target=""_blank"" title=""https://play.google.com/store/apps/details?id=com.wikitude"">play.google.com&#8230;</a>). To save time and avoid bandwidth issues, users should download and install the app to their phone or tablet before visiting the gallery.<br /> <br /> CoCA Pop-Up (AR)t, Book Release Party and Opening Reception<br /> Thursday, May 12, 2016, 6pm &#8211; 9pm, as part of Capitol Hill ArtWalk<br /> <br /> Exhibition opens May 4 and runs through Saturday, May 28<br /> <br /> CoCA @ Rubix<br /> 515 Harvard Ave. E., Seattle, WA 98102<br /> Gallery Hours: Wed-Sat 12p-6p<br /> <a href=""mailto:info@cocaseattle.org"" target=""_blank"">info@cocaseattle.org</a><br /> <a href=""http://www.cocaseattle.org/"" target=""_blank"">www.cocaseattle.org</a><br /> 206.728.1980 ",Center on Contemporary Art ,Nichole DeMent ,,206-728-1980 ,info@cocaseattle.org,515 Harvard Ave E,47.62366,-122.32229,"(47.62366, -122.32229)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118880258,art
Drop in Art at the Magnolia Branch,05/19/2016 04:00:00 PM,05/19/2016 05:30:00 PM,,http://www.spl.org/calendar-of-events?trumbaEmbed=view%3Devent%26eventid%3D118518797,,Seattle Public Library ,Jesten ,,206-386-4225 ,jesten.ray@spl.org,2801 34th Ave W,47.64532,-122.40134,"(47.64532, -122.40134)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119103257,art
Bricolage Issue 34 Release Party,05/19/2016 05:00:00 PM,05/19/2016 06:00:00 PM,Events Space ,http://www2.bookstore.washington.edu/_events/events_cal.taf?evmonth=05&evyear=2016&eventid=2016020111370300,"For over thirty years, University of Washington&#39;s Bricolage Literary & Visual Arts Journal has published prose, poetry, and visual art created by the UW community&#8212;including undergraduate and graduate students, staff, faculty, and alumni of the Seattle, Bothell, and Tacoma campuses. This year, we&#39;re excited to host the release party for Issue 34 and congratulate all of the gifted writers and artists whose work it features. Come enjoy live readings and showings from authors and artists whose work is featured in the book and pick up your copy of the exciting new issue. ",University Book Store ,Erica Milgate ,,,,4326 University Way NE,47.66024,-122.31278,"(47.66024, -122.31278)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119015419,art
Escape Your Everyday Travel Series,05/19/2016 05:30:00 PM,05/19/2016 07:30:00 PM,,http://evergreenescapes.com/events,"This free monthly adventure travel series brings travel experts to The Adventure Hub & Winery to share their experiences in some of the most exciting and unusual destinations for the adventurous traveler. Speakers will share photos, stories and practical travel tips on adventures ranging from exotic international destinations to local culinary and agricultural tours.<br /> <br /> Enjoy beverages from local wineries, breweries and distilleries and get advice from the experts on practical travel matters such as transportation, packing, planning your trip and more.<br /> <br /> Whether you are looking for ideas for your next big adventure or just enjoy learning something new about the world, the Escape Your Everyday Adventure Travel series is a monthly mind vacation to exciting destinations. ",EverGreen Escapes ,experience@evergreenescapes.com,,6318078180 ,,2960 4th Ave S,47.57587,-122.32789,"(47.57587, -122.32789)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d114850109,art
